Feature,Cternatea_20692_DDA_neg_5142025_053,Cternatea_20692_DDA_neg_5142025_054,Cternatea_20692_DDA_neg_5142025_055,Cternatea_9336_DDA_neg_5142025_056,Cternatea_9336_DDA_neg_5142025_057,Cternatea_9336_DDA_neg_5142025_058,Instrument_blank_DDA_neg_5142025_060,Cternatea_QC_DDA_neg_5142025_048,Cternatea_QC_DDA_neg_5142025_049,Cternatea_QC_DDA_neg_5142025_050,Cternatea_QC_DDA_neg_5142025_051,Cternatea_QC_DDA_neg_5142025_052,Cternatea_QC_DDA_neg_5142025_059,Extraction_blank_DDA_neg_5142025_047,Instrument_blank_DDA_neg_5142025_046
322.88590@9.629,4084,3227,3650,3411,2879,2936,1513,5384,5011,4671,3943,4181,3961,5907,1559
322.88600@9.410,3799,3566,3393,3160,3466,3334,213,5025,4208,4100,3887,3807,3413,302,258
322.88640@13.669,17172,17715,19258,18515,18504,17906,19409,20646,19521,20899,18625,19130,17980,21400,21691
322.88660@10.211,2618,2741,2174,1642,1932,1855,290,4553,4259,3264,3782,3018,2674,8444,1204
323.02770@1.063,25434,28061,25923,18983,20751,18926,0,27989,19331,24856,23909,24900,23739,0,0
323.02800@0.790,35880,18180,36421,24498,12324,25245,0,13253,12804,31576,14125,14707,32882,0,0
323.06850@0.728,39206,20689,36372,20079,22259,25757,0,45005,21115,20742,41181,20600,20274,0,0
323.07870@0.571,6402,6999,7400,9065,9610,10286,0,8241,7987,8317,7696,7230,7582,0,0
323.08770@3.241,20252,18963,18108,27087,27333,25728,0,27025,25134,26680,28113,25876,26822,0,0
323.09750@1.422,32557,35601,35535,25521,24502,15585,0,30426,34872,32406,34926,18271,31971,0,0
323.12430@3.850,15086,15452,15755,12937,13113,13516,0,15338,15167,15944,14930,14588,15421,0,0
323.13390@2.385,10863,11328,11349,7300,6954,7288,0,11193,10649,10519,10418,10424,9799,0,0
323.13390@2.691,18612,18020,18225,24847,24992,25496,0,25087,23419,23115,24088,25023,23239,0,0
323.13420@2.490,35040,39330,34958,25084,22679,23673,0,33619,31172,31050,32566,31175,9799,0,0
323.16740@8.416,18469,21724,21009,18534,20488,21410,23003,9228,22585,20050,20791,21329,21285,30250,23090
323.16790@8.233,50659,15967,33665,48684,37835,27024,27458,16322,57319,31211,26224,36687,32401,36216,34844
325.06740@3.266,9953,9334,9502,8869,8639,7433,0,10664,10645,10319,9860,9880,9249,4245,0
325.09220@3.675,140921,141538,142924,56837,58647,57466,0,111803,107024,106477,106341,107544,104330,0,0
325.09230@3.436,638161,654463,650192,367804,370251,371168,0,561081,552148,541919,542368,539235,547589,153,0
325.10730@7.356,110365,110583,109882,89560,91302,91854,0,123795,116649,112034,113546,111583,108621,168619,0
325.12450@0.555,52564,55009,54969,55391,55790,54629,0,59837,55492,56671,56073,55178,55372,0,0
325.18320@9.627,260951,249238,261971,259876,256657,254866,165651,296613,266222,273169,267358,266983,267353,162483,159636
325.18330@13.566,551937,174187,410713,387403,412685,368233,397082,330659,341426,371082,404318,369893,407550,456619,446071
325.18340@8.573,443941,412101,409670,413376,258623,448783,395421,510057,485649,520321,481316,447763,437613,639829,469194
325.18350@11.387,648794,590445,728935,671074,626110,604490,153875,609259,545495,534039,562370,593721,612120,554156,130886
325.18350@8.479,275097,243237,263990,286518,266104,243041,212116,332639,280146,316995,292709,264151,258685,318580,247546
325.18440@8.697,4742687,4781831,4722476,4714093,4710103,4702270,4872605,5105450,4989286,4945557,4894828,4869007,4829972,5710702,5023619
325.31880@8.698,39702,39964,41381,37586,38020,39042,35832,47375,45409,43561,44344,43764,44977,56093,42436
326.00650@8.703,19550,21398,21332,19996,21102,21596,19134,24331,22478,22383,22304,20332,25656,29595,6750
326.04570@8.735,11813,18026,18157,18604,18367,20283,18567,18946,9586,6559,17991,19446,24113,26269,17983
326.08750@2.553,8497,8073,8047,27709,26858,26662,0,25096,23006,22061,21292,20803,20700,0,0
326.18670@8.576,91550,54769,93851,51492,61722,82504,80565,104530,100513,107026,99645,91069,88828,130946,85072
326.77820@8.703,9010,10454,6411,9355,10053,7641,5520,8068,10681,7203,9946,6008,8507,7641,4533
327.07120@3.620,92207,94205,94035,88347,84863,83257,0,108527,106395,105118,105021,106944,102497,0,0
327.07150@3.410,113631,117564,116697,86703,87555,87647,0,121265,116885,117383,116716,116635,116202,0,0
327.08050@8.721,4186,4087,5598,2347,925,3510,3707,2826,5142,5206,1362,2165,4121,3752,3317
327.08660@5.439,11919,12079,12354,37632,36385,37453,0,27583,27043,26070,26877,26267,26189,0,0
327.09260@0.627,29752,31827,28686,40399,39610,40672,0,40791,39716,38198,38084,37974,38699,0,0
327.10770@3.818,18328,18291,17320,19222,21136,20759,0,21187,21158,20778,20271,21006,20877,0,0
327.10790@3.299,39086,40619,39431,34373,34936,35416,0,42315,40357,41142,38553,38821,40135,0,0
327.21660@5.863,91196,90817,91108,79578,79545,73209,0,98455,94313,94420,93600,93681,92651,0,0
327.21690@6.635,12375,11624,12140,17200,18609,17190,268,17607,17765,17340,17485,16584,16862,276,882
327.25570@8.688,9632,7641,5460,5149,8356,8698,9960,4502,7498,7046,8177,8149,7857,6252,4398
327.27940@8.710,8540,9880,9772,9486,10097,9935,10299,10081,9453,9500,9637,9443,11699,11974,9618
327.30190@8.684,4064,2716,7395,7400,6473,8078,7293,3919,4843,7455,7435,7280,6235,3274,6052
328.04430@2.297,14029,14193,14547,17378,16956,17506,0,18937,18343,18348,17023,18281,17518,0,0
328.08900@2.491,26025,24492,24519,25351,23647,24318,0,34369,30772,29535,28173,29920,25001,0,0
328.10330@0.921,36712,31488,36004,55089,51004,49921,0,52153,41689,46412,51663,42356,46618,0,0
328.98720@0.510,11422,11502,12040,9583,10527,9598,0,12177,10826,11528,11320,11243,11740,2680,0
329.01450@1.807,12143,11094,5401,19642,18076,17158,0,46991,38638,30930,27103,24544,16270,0,0
329.02620@3.568,2776,2765,2642,2236,1579,2131,0,2482,2335,2396,1886,1867,2841,5276,0
329.06580@2.870,23147,24223,22494,31392,37801,32134,0,35354,33350,33440,31965,31959,22496,0,0
329.06590@3.293,16240,18201,15396,20884,21475,23001,0,18209,17655,19933,18150,18037,20584,0,0
329.06600@2.618,16437,16043,16655,21871,23922,21774,0,18616,22062,18262,20548,20859,20689,0,0
329.08440@2.520,61079,57625,61501,62089,65215,60456,0,67646,63049,60943,59424,60281,51733,0,0
329.08690@3.133,91901,94680,91018,95394,94010,88021,0,108754,105373,103874,100198,106359,89057,0,0
329.08730@1.886,103351,104916,102188,60597,60979,58765,0,94607,88682,90840,89374,87159,87727,0,0
329.08740@3.901,9224,9546,9928,5176,4610,4738,0,8206,7136,7686,7374,7545,7636,0,1392
329.10820@0.639,46091,48876,48791,21499,20841,19669,0,34042,43087,41492,38131,39082,39654,0,0
329.13850@4.732,34710,34832,35250,18242,17727,17734,0,28231,28614,27685,28649,27411,27523,0,0
329.23240@6.985,12974,13193,14000,5261,5162,5376,0,9870,9984,9590,9949,9642,9341,376,955
329.23240@6.094,33457,31526,31919,29621,29863,31222,8215,34987,32453,33588,30639,31905,29965,10287,17091
329.23250@6.372,14331,12941,13803,18358,19717,20001,1595,19296,17351,18378,18542,18152,17568,2579,4092
329.23260@6.561,8107,8866,8571,12476,11693,10886,321,11050,10916,12404,10831,10401,11290,1434,2952
330.04590@1.233,493721,503687,499385,501685,511473,493639,0,623399,595302,591079,591613,574980,555959,0,0
330.98570@0.510,2861,3011,2888,2560,2317,2584,0,2831,3014,3074,2601,2550,2738,0,0
331.06620@2.929,53637,52993,53782,41493,50471,43185,0,54724,51126,52288,52172,61119,58540,0,0
331.06640@2.550,30826,31523,30595,14212,15829,15390,0,26065,24798,24345,25212,22921,24047,0,0
331.06660@2.794,348823,351820,346941,252245,249309,243040,0,348455,335729,333530,333510,332131,320108,0,0
331.07410@0.525,8231,8106,7641,7017,7033,7025,0,7823,7801,7748,7495,7573,8071,0,0
331.10220@2.694,6005,6520,6303,7466,7548,7453,0,8343,8692,7912,7969,7594,6482,0,0
332.05830@3.318,1566,1691,1676,3083,3554,4010,0,2395,2106,2198,2505,2328,2251,0,0
332.06180@2.991,11610,11869,11254,13197,13990,13827,0,13509,13961,14144,13735,12996,12952,0,0
332.06620@0.703,27993,28468,27181,42761,40478,40893,0,36626,34935,36560,35183,35983,35476,0,0
332.07040@2.926,11825,11272,11902,11589,11406,10760,0,12984,12394,12181,11974,11424,11566,0,0
333.05890@0.579,92470,97132,95994,103814,102346,101730,0,97567,90999,91702,95276,96934,97831,0,0
333.06310@0.700,169288,169039,164558,218725,214611,212105,0,203937,197233,197331,196499,196391,189791,0,0
333.13470@7.772,4387,4939,4360,4573,4012,4057,4066,6982,6780,6787,6073,5930,6100,8595,3301
335.05330@2.755,18210,18841,17196,19811,21616,22982,0,18871,17597,18552,18759,18257,21950,0,0
335.07620@3.204,41917,41704,40904,15967,26393,23764,0,32408,33739,29749,32643,21665,35602,0,0
335.07670@3.092,19385,22592,21243,18116,18113,19038,0,20812,19922,20325,20671,20221,21769,0,0
335.07880@0.665,33025,32396,32092,43383,45160,42598,0,37508,37112,38230,38874,39618,39429,0,0
335.09800@2.686,21769,22669,22092,18053,17714,17364,0,25578,23827,23804,23720,23797,21026,0,0
335.13400@2.578,16293,15919,16635,12104,11713,11510,0,16797,16401,16457,14527,15481,14898,0,0
335.89060@9.633,26698,29344,29314,30104,27249,32352,21363,15445,21011,22566,24106,27481,28058,6600,8088
336.09330@3.954,16086,19839,15510,13477,11966,11049,0,16029,15271,14068,14525,15438,13533,0,0
336.10800@4.798,1223,1247,1229,1282,1233,1380,0,1370,1455,1379,1729,1172,1252,3943,0
336.25270@8.648,2540,2584,2338,1269,1758,1624,0,2930,2536,2353,2438,2225,2271,0,0
336.89010@13.715,7070,7009,6630,13793,11523,8848,13190,4184,13142,8741,6022,6114,5310,4343,509
337.04990@1.637,27609,17782,26553,31065,31638,30890,0,23261,31281,32481,32734,32806,29226,0,0
337.07690@1.071,459059,459643,458424,388349,381231,379246,0,460024,442909,269899,442006,444864,439481,0,0
337.09210@4.040,7991,7917,7965,11900,11989,11917,0,11528,11105,11151,11021,10773,10490,0,0
337.09210@3.833,64245,67048,64122,63058,65675,63785,0,74468,72866,73781,74299,73943,72466,0,0
337.09220@3.557,244168,243885,250172,392219,387320,396181,0,358447,349851,344014,350391,345956,358601,0,0
337.09230@3.403,687060,696168,684507,748388,749741,739031,0,779421,766955,775778,773851,764552,756596,0,0
337.11310@2.655,25733,27343,26436,20558,20024,21226,0,25867,26009,25881,26299,27474,26000,0,0
337.14010@3.217,13371,12592,13418,34498,32369,31943,0,28191,26999,28348,28356,27869,25288,0,0
337.15040@8.518,4184,4698,3956,6436,6319,6643,0,7152,7120,6764,6375,5918,5980,2663,16551
337.18370@8.652,46642,32198,30490,34524,19255,29903,44582,42847,38383,42928,43739,39710,38696,69773,55835
337.20450@8.772,97279,102354,91028,98176,100143,93885,51988,157949,153613,141112,139961,132128,126805,112822,71317
337.22870@3.403,2557,2877,2502,3775,3694,3757,0,3354,3007,3238,3278,3117,3708,0,0
338.09570@3.403,133495,133976,134814,151577,152092,150826,0,159358,154191,157676,156035,155493,153844,0,0
338.19670@5.144,17247,16916,17242,39293,39729,38957,0,33741,32714,33423,33006,33430,33186,0,0
338.20140@3.403,3268,3293,3959,4100,4017,4124,0,3489,3316,3691,3556,3722,4024,0,0
338.26020@3.395,1982,2090,1877,1985,2200,2575,0,1974,1980,2447,2440,2202,2298,0,0
339.19880@9.404,325916,603077,336138,584741,300268,588222,240664,697152,380414,628755,620599,601544,313531,185240,169913
339.19900@8.937,668462,644024,644628,657688,648391,635602,597752,777124,751777,716330,727216,698339,697583,841087,753873
339.19900@9.627,292665,301541,299526,298281,298300,296298,296537,341986,320466,318461,311460,307469,317786,171090,318059
339.19910@13.548,132231,221483,565629,158112,202793,394330,142621,323696,201723,392414,219188,199976,88582,462928,357379
339.19920@11.386,488092,522246,571721,558618,720034,507918,102632,584854,523243,535019,753182,501086,552533,482900,82977
339.19930@8.834,226563,237553,230376,218498,230053,224262,218330,371193,279020,253474,239352,247852,242255,325804,259344
339.19980@9.072,4576805,4609169,4623342,4582606,4578351,4607620,4979266,4886690,4803285,4787772,4743414,4748912,4739628,6004749,5840105
339.25040@9.063,111491,111306,111826,111781,111699,110087,84090,152195,143429,138051,133993,132854,124832,177000,151619
339.31770@9.066,39476,38741,43514,39829,39716,41040,37227,47921,48887,44009,46526,42029,51834,66922,2565
339.33720@9.071,34439,34782,35058,34344,35137,35506,29590,42790,41383,39813,39148,38545,39826,48844,42201
339.99490@0.527,3363,3737,3875,4914,4465,4619,0,4401,4123,4391,4055,3835,3622,0,0
340.01730@9.079,12350,13376,15144,13591,14365,14752,13038,17580,16102,16440,16031,15469,17371,22316,17656
340.04040@9.059,17801,18014,17737,18783,21395,19536,17002,22459,22005,20609,19970,20136,24614,25170,20914
340.08700@2.104,9583,9761,9505,4832,5121,2365,0,8697,9457,8398,8353,8604,7278,0,0
341.03340@1.337,45233,49079,48758,50108,52037,52278,0,49564,48729,49508,49619,49735,55140,0,0
341.04260@3.108,13923,14757,15464,8649,9754,11238,0,11339,10736,10522,10836,10539,15995,0,0
341.08700@3.957,19533,19132,18421,21011,21022,20888,0,24345,22033,24199,20867,22615,21062,0,0
341.08720@3.438,185738,185491,186317,79448,79679,80309,0,143840,141153,140176,139945,139627,136729,0,0
341.08720@3.605,113757,113588,113436,91198,90865,88217,0,113395,111206,110142,108309,110024,103373,0,0
341.08740@3.724,23775,24026,24127,8172,7319,7995,0,18213,17115,17827,17416,17603,17143,0,0
341.10810@1.080,214756,230307,191865,184519,197519,199460,127,212551,195113,216274,205833,203658,135723,329,124
341.10820@0.905,180684,177286,181146,151768,135519,140283,138,167929,143084,163181,159767,148319,148630,1561,0
341.10840@0.606,481863,588279,583720,521191,511182,505607,2014,518409,440050,510784,525603,548223,532228,113534,7420
341.12290@3.822,11225,10884,10915,5874,4856,5830,0,8737,8090,8848,8401,8659,8284,0,0
341.17800@7.424,21339,21456,19651,20967,21518,13958,19001,20881,22701,14516,14301,20906,19174,33066,17952
341.26610@9.105,9450,9581,5280,6581,6118,9684,9420,10843,9293,9901,6544,9726,11742,10020,9138
341.31520@9.074,10850,10645,7968,11446,12078,11939,12248,11355,11648,11638,10765,11135,10728,12794,11102
342.08710@3.316,15937,16008,15944,22524,23058,23187,0,21054,19366,19148,18750,18223,18234,0,0
343.04440@3.094,16816,17879,17899,11695,11001,12014,0,15224,15286,14928,15174,14649,17579,0,0
343.07760@2.552,12222,11872,11747,43306,44276,43373,0,29707,28491,29343,28062,29500,24974,0,0
343.10230@3.428,39653,40720,39708,23048,22748,22553,0,31664,31672,33135,33419,33810,34042,0,0
343.10250@3.341,44408,45423,44622,34216,35983,33518,0,42324,42860,41999,40460,43111,42332,0,0
343.24790@6.730,21353,20872,19252,10667,11219,11766,0,16776,16135,19963,19421,18557,16347,0,0
343.24800@6.855,8085,8272,8410,6827,7259,6838,0,8683,8435,8387,8601,8636,7612,0,0
344.03910@2.370,41084,40035,38617,41399,41335,39573,0,49665,47508,48077,46440,46244,44470,0,0
344.10140@0.564,11513,11480,11625,15830,14857,14568,0,14877,13677,14060,13766,14014,12865,0,0
344.97810@6.297,2914,2714,3103,2484,2761,3288,5039,4008,3408,3049,3072,2475,2856,6146,5429
345.00890@1.810,4919,8081,7592,15555,15889,15939,0,1346,3233,5982,7206,13450,13448,0,0
345.06810@8.636,23435,23023,23481,15607,13634,14231,0,21182,12825,20402,18309,17559,16961,19082,0
345.07920@2.489,11579,11806,11377,12287,12620,11724,0,13995,12836,11999,12508,12639,10682,0,0
345.08180@2.921,9918,9379,9680,13415,10796,10747,0,12370,11961,13407,12236,10909,10791,0,0
345.08190@2.755,132976,132761,132260,129751,130724,128118,0,155675,145652,148617,144277,144145,135728,0,0
345.11810@3.072,13665,12558,11842,7609,7283,6901,0,12882,10723,10915,10834,11381,10013,0,0
345.11830@2.938,14294,14362,14759,8015,7747,7957,0,12192,11953,11739,11686,11986,12136,0,0
345.15470@4.140,11571,12319,12790,8283,8539,8964,0,11144,8434,10353,10368,11713,10075,130267,0
346.17640@11.478,6220,6177,6293,5411,5664,5398,0,7622,6654,7249,7460,7184,7506,6600,0
347.07590@5.196,29608,30228,30440,31059,30667,30328,0,32685,31410,31732,31850,31532,30897,0,0
347.09720@2.620,33247,32835,32707,16958,17470,17009,0,31391,29831,29169,26993,27508,26039,0,0
347.09790@2.389,63628,63387,62760,31361,32539,31540,0,55783,53926,51704,50709,52437,49232,0,0
347.13420@4.607,3235,3954,3563,4226,3711,2020,4728,4215,2836,3825,2450,3194,2776,5970,0
348.09810@0.985,130099,133134,135923,65811,62705,62800,0,109947,105584,105235,106159,104967,106327,0,0
349.09220@3.745,11441,11475,11588,8225,9146,8272,0,10250,10874,12477,11890,10047,12874,0,0
349.09410@0.983,520967,536887,573235,244860,247049,241409,0,438551,420632,431761,432267,423499,424330,0,0
349.09410@0.730,124942,129459,133639,72561,71840,70744,0,112332,108834,107236,109273,112328,111985,0,0
349.14920@4.521,7947,7887,8610,13141,14215,14511,0,11914,11583,11315,11606,10799,11378,0,0
349.20480@8.589,2610,2082,2625,2704,2140,2304,749,4316,4170,4113,3940,3447,3877,2679,1014
349.23750@7.783,3217,3432,3648,4290,4937,4434,0,4690,4196,3998,4253,4279,4216,0,0
349.23940@7.889,3220,3260,3288,3636,3703,3960,0,4625,4247,3798,4016,4180,3619,0,0
350.07130@2.489,12129,11204,12010,12592,12157,11852,0,14120,13574,13326,12783,14718,10635,147,0
350.12430@7.774,5881,5652,5738,5516,5557,5067,5911,8603,8115,7705,8224,7493,6998,10587,3594
350.26910@8.851,14911,15612,15863,7496,7726,7222,0,13676,12938,12667,12776,13209,12130,0,0
351.12890@3.453,64444,68948,67724,34483,34069,33923,0,56134,53781,55069,55883,55664,55661,0,0
351.18380@7.163,10470,8201,7635,7953,7551,8127,9466,8365,9465,8427,8583,8056,8369,10467,7629
351.20170@3.626,17177,17379,17002,10294,9029,9478,0,14537,13476,13668,13963,13737,13975,0,0
352.06310@2.039,17605,16803,16918,19007,18882,17919,0,21810,21670,21686,20886,22263,20274,0,0
352.10310@4.296,4641,4735,5172,4025,4283,4514,0,5407,5232,4906,5267,4937,4910,0,0
353.08700@2.959,43001,43129,41553,44049,45171,45765,0,50276,49192,48643,47544,49143,49700,0,0
353.08710@3.191,329015,331418,329444,440733,446123,437537,0,452094,434987,436162,430710,432608,421838,0,0
353.08890@0.571,21438,20875,22354,16076,16015,16825,0,17043,15853,15725,15586,16940,16167,0,0
353.09850@4.782,3539,4317,4345,5204,4945,4692,0,5072,4817,4253,5110,4832,4435,8287,0
353.10840@0.786,65895,65629,65320,104961,104466,97872,0,92399,92195,97971,89447,94287,94890,0,0
353.17820@7.574,10561,10340,6346,4914,10296,5543,5638,12702,10874,9960,10616,10529,10230,10235,15686
353.19930@8.171,187031,188230,183297,171608,173883,177950,130087,274612,268864,265582,258162,259372,239008,226728,135714
353.21440@9.463,69558,67322,73144,68457,69889,67751,68229,70768,79403,76331,73617,73865,74494,87072,73678
353.23280@7.810,2575,2529,2620,2932,2991,2716,349,4139,4419,4222,4033,3721,2634,2663,159
353.31670@8.170,1846,2234,1904,2272,2246,2985,1568,2409,2118,2726,3055,2570,3963,2777,0
354.19160@4.231,7524,6859,6906,8437,7531,7860,0,8063,8050,7738,8315,7890,8096,0,0
355.08790@0.587,49703,49947,48108,45424,45212,42743,0,50914,48322,48429,49423,48441,47343,0,0
355.10180@4.304,5773,6295,5516,2566,2280,2303,0,5708,4501,4290,4071,4914,3831,0,0
355.10250@3.819,118854,117367,116727,26341,27298,28776,0,82441,77137,76072,74992,78053,76007,0,0
355.10280@3.727,589355,599282,591107,452377,443450,444580,0,564320,557321,543959,551906,545275,539078,0,0
355.10710@3.262,4606,4764,4162,4002,3980,3420,0,4475,4456,4635,4329,4768,4621,0,0
355.12420@1.953,34849,34169,34663,6271,16482,17253,0,29617,28523,28973,28093,28467,26962,0,0
355.15710@9.627,41309,42467,40627,37027,35869,35249,4364,14665,34216,43571,45796,47025,46795,312,5016
355.19380@7.338,12651,12886,14139,14153,13891,13526,25079,17265,16448,15903,15389,14274,12416,32480,31430
355.19460@7.799,28439,28252,30018,27223,29348,27473,42652,29290,30922,27308,29758,28464,26483,44500,49257
355.22420@3.728,3341,2978,3962,2745,2887,2157,0,2870,2922,3314,3581,3317,4229,0,0
355.32110@10.581,2335,2240,2133,2648,2451,2253,0,2959,2582,2873,3046,2830,2475,131,0
356.18580@9.327,17121,20101,17894,18941,20588,21331,22400,21748,23815,20928,21854,21614,20423,26814,25085
356.18600@9.204,24965,25165,24989,31005,29838,29790,27275,33737,32965,28954,27387,26272,24807,35072,39157
356.92280@13.658,7397,7270,7134,7229,6572,6778,8047,10458,8124,7128,7159,7841,7215,6941,5745
357.10300@0.587,17888,17304,17697,19415,18965,15901,0,20274,17343,16219,18121,19404,17911,339,0
357.11820@4.108,12713,12898,12881,13354,12523,12115,0,16089,14773,14292,14944,15484,12516,0,0
357.11820@3.570,72521,71672,71828,76431,75706,75060,0,87797,81421,83044,82690,82795,76901,0,0
357.13340@5.037,20910,20957,19122,13744,11023,10893,0,16923,18017,16722,16304,15931,16235,0,0
357.13350@4.686,59385,59213,58539,51783,51486,50791,0,58373,56228,57573,57456,57970,56029,0,0
357.13360@4.840,22887,24757,25433,13693,13573,14015,0,20272,21535,21374,21072,20544,19661,0,163
358.07740@3.052,2443,1990,1948,5588,5441,4877,0,5120,5002,4596,4994,4866,4231,0,0
358.07750@0.859,134564,137176,147333,151379,153386,157168,0,183203,168082,160603,165826,152792,148974,0,0
358.08180@2.715,30982,30412,29729,31704,31789,29434,0,37603,35520,37071,35900,35463,32404,0,0
358.08190@2.645,25431,26083,26227,23206,21217,22540,0,30269,27812,27676,27925,26883,25884,0,0
358.92160@0.486,6007,6448,5595,4512,5363,4869,114,5699,5331,5864,4943,5278,5172,7584,0
358.94360@0.452,15155,14979,15191,12665,12211,12229,0,13283,13060,14287,14380,14173,13650,0,0
359.07260@1.301,109278,111463,110258,125616,125946,126018,0,144627,137307,137230,131187,131125,133986,0,0
359.09770@2.862,17049,18202,18036,11592,11304,11397,0,17010,15681,14976,15359,15067,16387,0,0
359.09770@3.338,47696,48648,43557,25862,26383,26017,0,39142,38214,37992,38904,40976,38189,0,0
359.10830@3.264,12773,14390,13401,11692,11131,11225,0,15456,17443,13853,14501,14688,14497,0,0
360.94220@0.452,8677,8225,8971,7269,7522,7099,0,7943,8201,7820,7915,7473,6994,0,0
361.05570@3.089,22378,23160,22556,15737,16556,16505,0,19608,19780,20206,19966,20144,22174,0,0
361.06900@3.439,19211,21340,21054,13931,16388,18085,0,18165,18271,17959,17811,17646,22452,0,0
361.08490@7.361,1923,1869,1935,1420,1672,1780,0,1714,1845,1915,1534,1462,2055,3039,0
361.08790@5.358,14143,15773,14957,14857,15597,14597,0,17479,15871,15834,16055,15996,16078,0,0
361.20440@8.161,10121,10684,10572,7950,8068,8474,581,11307,11218,10784,9981,9812,10075,18205,1063
362.07180@2.754,46891,47124,48676,49687,46720,47490,0,51404,47799,49722,49084,50256,42815,0,0
362.07210@3.096,22465,22941,23882,38551,37443,41206,0,25988,25681,24841,25569,26196,29050,0,0
362.07240@0.751,58509,57751,55584,62595,63199,63919,0,64810,63438,63361,63568,62847,62115,0,0
363.01700@6.737,5470,5363,5209,3554,3079,3171,0,4664,5068,4853,5234,5070,4668,0,0
363.03340@0.712,25664,27862,26194,40424,40650,38883,0,33282,32787,33227,33713,32569,32426,0,0
363.11850@4.398,11571,11580,11984,12180,12970,11392,0,13491,12994,13215,13362,12725,13103,0,0
363.14420@3.771,20046,19912,19548,30248,30335,30564,0,28241,27507,27092,27537,27472,27424,0,0
363.14480@4.225,4879,5222,4507,1578,1661,1758,0,3255,3545,3152,3310,3353,3193,1709,0
364.08770@2.389,21483,20895,20645,11258,10983,10096,0,18619,16460,16894,16028,16944,14243,0,0
364.24830@7.976,3855,4161,4010,2853,2801,2886,0,3672,4048,3586,3513,3551,3465,0,0
364.28470@8.800,3697,3454,3419,2404,2396,2484,0,2960,3441,2933,3061,3085,3077,0,0
365.08800@0.659,40021,41124,78180,39800,62184,64026,0,77711,70569,76714,34159,78229,75634,0,0
365.09060@3.493,3540,3587,3638,2895,3367,2931,0,2773,3800,3823,3556,3675,4040,2512,0
365.13940@7.944,36794,32769,31501,20318,31487,32842,39756,38670,38150,36600,35900,35573,35498,65743,30310
365.14410@3.329,12761,13244,12941,8946,9890,9403,0,12234,12665,12199,12136,12680,12120,0,0
365.14460@3.267,8433,7277,8102,5843,5810,5777,0,8123,7786,8071,7596,7324,7175,0,0
365.14480@3.827,36138,37255,32163,17792,18705,16771,0,28523,27030,26703,27017,27746,25981,0,0
365.18090@3.933,10130,9710,9747,9273,9018,8990,0,11322,10999,11106,11176,10444,10477,0,0
365.18100@3.658,57676,57966,58168,22696,21867,23475,0,43619,42025,42693,42077,43989,41935,0,0
365.23550@9.433,9245,8934,9112,8146,8239,8116,4862,12033,10195,11203,10335,9282,10836,13607,6816
366.08200@2.743,47640,47175,46829,32852,32226,32661,0,41242,42948,42376,42304,41541,40474,0,0
366.26380@8.265,7558,7284,7596,4727,4885,4614,0,7600,7500,7090,6694,6693,6152,0,0
367.10240@3.629,102331,103646,101492,129297,126626,121963,0,134844,132282,131239,130587,129709,123849,0,0
367.10250@3.739,163455,165794,163832,222051,219061,217552,0,220422,212199,210605,212449,214039,210780,0,0
367.10500@0.555,53261,56103,54613,56350,57151,57775,0,51621,51367,52477,51105,50124,50818,0,0
367.21540@8.519,4844,4823,4575,4166,3459,4274,2948,6769,6246,6164,6370,5692,6347,5452,3203
367.26290@11.387,29757,30059,26825,35036,31646,27346,3087,32249,27415,26870,28750,29919,28119,28377,3621
367.26330@9.914,98075,98754,100257,92986,91844,76230,147071,110581,104614,101700,100540,99492,90700,221013,237917
368.06180@3.226,37494,39838,35333,17743,9649,14666,0,29386,28174,29392,27825,20004,22819,0,0
368.06190@3.107,90660,94769,102010,62343,59180,70303,0,74165,66556,64764,64834,66204,90141,0,0
369.06650@0.631,31304,25446,32869,41992,43933,42257,0,41980,42479,33689,40033,40265,39914,0,0
369.08140@3.869,10368,11404,10917,2907,3027,2504,0,7535,6880,7067,7136,7258,7249,0,0
369.08160@3.765,14680,14419,14676,1641,1659,1493,0,8433,8696,8284,8451,8265,8989,0,0
369.10390@0.643,17637,16162,15051,16122,14464,17575,0,21314,20166,18884,18529,16015,17409,431,0
370.97370@1.359,8577,6859,2726,6733,9912,8664,0,50811,18889,15352,3974,8176,2476,0,0
371.09760@3.836,19525,20735,18911,30461,29757,30014,0,27836,28714,27336,27221,27699,27661,0,0
371.09760@4.494,20961,21742,22781,16668,16156,16103,0,20593,20185,20870,21286,20678,20527,0,0
371.09770@3.441,91255,90319,90560,58521,57898,57195,0,91798,90159,85732,83704,80035,78291,0,0
371.09770@4.211,19061,19269,19401,9568,9534,8494,0,14952,13992,14574,14917,13856,14872,0,0
371.11830@0.924,40712,34273,14546,112063,104424,114338,0,99974,91436,103608,95142,100543,96721,0,0
371.11910@0.626,378817,386029,389038,635463,637680,623295,0,575486,555397,556914,553593,558514,565972,0,0
371.13360@4.673,5759,5607,5489,13105,13296,14184,0,10757,10344,10805,10637,10217,10394,0,0
372.09290@2.759,22334,20648,21309,15085,14127,14343,0,18744,17970,18192,19123,19408,20017,0,0
373.04020@4.268,24877,24869,26094,6884,6715,7278,0,16978,16946,17216,16590,17926,16313,0,0
373.04120@4.190,12480,12054,11983,3381,3281,3001,0,8378,7915,8654,8144,7362,7400,0,0
