Feature,Cternatea_20692_DDA_pos_5142025_038,Cternatea_20692_DDA_pos_5142025_039,Cternatea_20692_DDA_pos_5142025_040,Cternatea_9336_DDA_pos_5142025_041,Cternatea_9336_DDA_pos_5142025_042,Cternatea_9336_DDA_pos_5142025_043,Cternatea_QC_DDA_pos_5142025_035,Cternatea_QC_DDA_pos_5142025_036,Cternatea_QC_DDA_pos_5142025_037,Extraction_blank_DDA_pos_5142025_032,Instrument_blank_DDA_pos_5142025_031,Instrument_blank_DDA_pos_5142025_045
337.23710@4.552,6944,7221,7114,4257,4449,4576,5968,6113,5883,19848,0,0
338.14340@0.783,11148,12218,13665,11439,12955,11845,13446,12072,12237,0,0,0
338.19550@4.880,7313,6609,6715,9190,9310,8482,8864,8376,8253,0,0,0
338.27580@8.863,36156,36895,34544,45360,46261,48314,42600,39836,40041,0,0,0
338.34100@10.622,9186,11229,8525,8149,9993,6993,12604,9703,9483,14718,7609,9805
338.34110@11.038,2199311,2223149,2224600,2181103,2206001,2164728,2219118,2218818,2184342,2034854,143366,166501
339.00990@11.042,16283,15034,14672,14302,16168,14282,16186,15308,15199,6999,0,0
339.04670@3.092,14267,14737,13054,18879,20166,18877,18701,17203,17907,0,0,0
339.09100@11.038,19435,16840,16625,16858,17195,17178,18496,17277,14259,8414,0,0
339.10660@3.552,25694,24948,26765,50598,50973,50424,37284,36177,36782,0,0,0
339.11570@11.035,16380,14665,13775,14600,14333,13580,14537,14858,16150,5866,0,0
339.13930@9.010,3838,4953,2856,4165,4291,4151,3647,4429,4370,5326,5437,4206
339.15460@3.272,6216,6378,5946,13779,13381,14068,11502,10250,9770,0,0,0
339.15770@11.040,16280,16119,15740,16177,15903,15540,16486,17030,16058,6887,0,0
339.18080@11.037,16298,15934,15864,14392,16293,15690,16851,16697,15800,6983,0,0
339.22060@11.037,17297,16025,16950,16951,17508,16189,18544,17212,16380,7843,0,0
339.28850@9.294,32064,29103,31010,34255,33022,34771,31720,30227,31884,276,215,128
339.28860@9.236,22207,22972,22469,27123,27024,26107,25884,24081,23851,276,215,128
339.28870@10.217,7280,8307,8390,9558,8850,10188,9315,8539,8535,0,0,0
339.59450@11.039,11948,11841,11733,11987,11742,11187,12947,12254,12668,6733,0,0
339.67710@11.037,11645,10125,11627,11646,10245,11862,10781,11484,11192,5690,0,0
340.15910@0.731,21776,23279,24131,19976,20349,19762,22309,22045,22949,0,0,0
340.21080@5.134,12834,12732,12071,33214,31959,31600,23018,21231,22128,0,0,0
340.59180@11.042,4278,3918,3060,4219,3145,3457,3743,3929,3789,1761,0,0
341.02220@0.537,5496,6782,6526,5017,6003,5258,6271,6392,6199,0,0,0
341.09920@6.345,968,926,642,1100,997,863,911,1028,1038,4152,0,0
341.13730@5.019,38478,39918,43363,25591,27549,25573,38725,37229,36498,0,0,0
341.13750@4.544,53141,52428,50505,18430,20588,20133,27545,29531,29165,0,0,0
341.13760@4.674,220825,217788,214986,206293,199126,195782,228941,223972,222953,0,0,0
341.13760@4.027,63675,66047,64484,54241,54521,52469,64647,61844,62897,0,0,0
341.16400@8.962,2406,2550,2705,2151,2013,2596,2904,2480,2491,2438,496,0
341.21060@9.328,5121,5523,5301,4982,5419,5066,5549,5029,5253,4740,0,0
342.19090@11.510,487,469,810,401,828,616,1180,634,554,12549,1269,0
342.21280@3.017,33846,33583,32867,47341,45692,46714,41751,40202,40423,0,0,0
342.26760@9.127,25612,25271,23553,38419,38811,37302,29964,30160,30084,0,0,0
342.70050@6.442,11056,8428,9957,3826,8148,5990,5528,10719,11535,0,0,0
343.07800@2.555,14072,14220,15501,11808,11776,14569,14343,13941,15373,0,0,0
343.08000@6.331,7835,9400,8569,16363,17803,17525,12565,12170,12497,0,0,0
343.19120@11.512,4686,4293,4489,3931,4167,4224,4515,4270,3858,7346,0,0
343.29380@6.532,18445,19979,19551,7121,7879,7818,15567,14920,14938,16829,7581,5783
343.99420@1.347,6398,7685,11610,11282,11713,10970,15104,14336,12608,0,0,0
344.07490@9.828,48966,48673,47155,46337,45559,46568,51513,50043,50225,29428,28264,30882
344.07510@10.690,101410,99777,96502,96596,93846,96733,104021,87216,100213,81176,63903,74450
344.07510@11.402,37693,39050,35879,49630,74067,59622,74858,61399,96712,95650,11597,12992
344.13350@3.433,189299,196780,180136,112546,112584,110626,185507,175842,168693,0,0,0
344.22710@3.554,47541,49884,50733,28128,28305,28657,44194,40731,42868,45861,21708,15774
345.26250@5.985,16782,16117,16426,16923,16608,16729,18650,17327,18286,0,0,0
345.26300@5.332,22084,22515,22049,8061,7330,7940,16764,16791,16818,0,0,0
346.04550@0.708,17175,17866,18585,24779,28438,28603,21044,19639,22017,0,0,0
346.05390@2.312,14235,14425,14775,19168,18662,19110,17553,15899,17329,0,0,0
346.07000@9.828,24190,24280,23634,22417,23525,21349,24899,23720,24156,13817,13089,12027
346.07090@10.690,49817,48991,47753,48071,47915,47513,52269,51752,38002,37479,34479,26849
346.07990@3.433,22045,21966,21768,9286,10831,9182,17422,16941,16603,0,0,0
346.90800@0.464,5785,5903,5898,3476,3610,3238,5234,4664,5164,5891,0,0
347.05960@2.845,6966,8130,7522,10786,11309,10859,9608,9229,8800,0,0,0
347.07510@4.517,9161,8353,8789,4540,5132,4710,8678,7055,8189,0,0,0
347.08440@0.567,13183,14530,16027,12244,14546,14546,13385,13408,14697,0,0,0
347.31400@8.813,3002,3102,3162,1504,1614,1702,2176,2416,2370,1660,316,446
348.16930@2.723,9957,9978,9621,12368,12939,12613,11601,11928,12045,0,0,0
348.17560@1.087,21071,23456,23852,33793,36725,35554,28669,28245,29578,0,0,0
348.21680@7.347,15880,14757,15221,16158,19289,14743,19590,12737,20444,16010,30629,20759
348.21800@9.557,22084,22909,21842,26483,22029,24990,25013,25326,21345,1903,3160,1111
348.27410@4.293,40535,39963,48202,23318,22481,23018,34437,32408,33406,0,0,0
348.94190@0.459,3315,2990,3188,2678,2449,2060,3280,3005,3119,0,0,0
349.03330@3.740,703,1020,1073,615,832,989,1329,1117,759,3550,0,0
349.08850@3.669,10705,12357,12574,6706,6045,6813,10346,11388,12127,0,0,0
349.08890@3.436,45414,44717,40429,27699,28386,26595,43307,41252,38506,0,0,0
349.18300@3.555,7938,7228,7767,4340,4580,4074,6729,6592,6916,8070,3675,2285
349.19980@3.916,14675,14203,14886,28407,28629,28271,21879,19680,19738,0,0,0
349.22060@3.455,13898,13580,13245,18176,18695,18378,17176,16891,16630,0,0,0
350.14300@2.952,2175,2324,2213,482,336,672,2089,1789,2047,0,0,0
350.15280@9.091,24347,24821,23336,23386,26886,23555,26273,25810,25081,0,0,0
350.17460@6.911,23247,22456,23576,20008,19950,19817,24372,21371,22795,0,0,0
350.17510@7.001,11111,10781,11585,9990,9521,9278,10981,12031,11252,0,0,0
350.25650@9.127,49637,48442,48750,75143,74067,75436,62337,57432,61849,0,0,0
350.28910@4.582,12716,13647,13124,12953,13138,13705,15664,14202,14025,0,0,0
351.17910@9.039,4397,5007,4475,4420,4814,4844,4066,4459,4264,6655,1234,1102
351.50400@3.892,2068,2144,1965,1541,2338,2157,2031,1772,2283,0,0,0
352.16050@3.477,18420,18757,19621,32495,33631,33813,27371,25254,26787,0,0,0
352.16850@9.390,58117,54851,57445,60200,59633,59289,55314,58910,61370,0,0,0
352.87320@11.371,8854,12035,8771,21130,35634,20280,16084,23855,31746,30667,0,0
352.88270@0.487,2820,3009,2822,2951,3163,2686,3206,3429,3394,199,0,0
353.02490@0.783,0,3730,0,2948,0,1873,0,3244,5725,7226,0,0
353.07810@6.788,66750,67995,67594,53686,53009,53803,68110,64809,67477,143531,0,0
353.08540@3.340,23942,22337,21759,15151,14980,15348,20344,19291,20837,0,0,0
353.08560@3.428,21663,22244,21696,13329,13422,13680,19124,19403,19033,0,0,0
353.11750@11.378,103490,89688,76685,184597,185689,107777,103838,177653,190748,130585,4616,49433
353.11980@9.434,420916,412329,413556,505071,417004,415445,422936,410149,418127,374525,328781,317721
353.11990@9.777,46721,44563,51456,41012,46592,45127,45332,48852,41590,51362,43002,36250
353.12020@10.549,40412,24253,52013,47346,75182,44224,54582,53440,53935,19361,18557,33683
353.21610@3.626,38035,37882,36849,27227,27847,26762,35920,34622,35099,0,0,0
353.26710@7.653,20875,20551,20181,24068,23266,23689,28528,18986,21768,0,0,0
353.26730@8.612,244092,241336,258040,340838,338195,340455,313262,274978,282072,118,0,0
353.26750@10.573,18218,17631,19653,20137,17879,17523,20912,17510,19959,0,0,0
353.26750@7.520,161454,163336,165072,227012,229349,220039,196195,182260,196041,0,0,0
353.26760@10.825,31017,28088,28683,36564,34313,39287,35863,33510,31066,0,0,0
353.26770@6.911,75203,76576,76705,72494,74811,72505,80102,75238,76050,0,0,0
353.26770@7.002,36570,37033,36287,37589,37506,36448,39560,36863,38503,0,0,0
353.26780@7.447,164112,164231,162556,170975,174409,182128,172453,173357,167148,0,0,0
353.26780@10.624,21271,22329,20312,19952,21473,24250,22383,22508,20321,0,0,0
353.26780@8.561,211109,210174,207384,253058,263054,235121,226486,239077,236059,118,0,0
353.34110@11.376,728137,1011356,759759,1498182,2152019,1340558,1114697,1555507,2129996,1845728,191,5729
353.34120@11.155,37161,41038,37728,40313,43234,42391,37188,40770,36429,40155,198,1137
354.08080@1.344,34699,34251,34888,51425,51962,49878,42639,40056,39790,0,0,0
354.10830@0.684,32100,35671,34596,29753,33372,31008,33575,35730,34840,648,0,0
354.18670@8.753,28820,29708,29072,75968,76389,75763,48367,48439,47008,0,0,0
354.80200@11.381,1555,1823,1365,3816,6218,3283,2540,4102,6485,4697,0,0
355.07550@6.788,23485,23949,23964,19293,19362,18537,23993,22605,24179,51453,0,0
355.10150@3.187,22829,22386,22721,39154,40402,37112,31061,29455,30203,0,0,0
355.11610@9.434,92822,76578,76125,77492,80355,80535,71267,81603,101165,64890,63082,60272
355.15350@8.172,110386,111217,111431,100030,100045,100851,109526,105890,110635,143224,0,0
355.22090@4.173,57599,58737,58015,46172,43437,44322,56451,52337,51727,0,0,0
355.22620@5.323,28784,27503,27101,20674,19886,19366,26766,26631,25905,37946,0,0
355.26990@8.168,2134,1639,2265,2279,1855,1547,2282,1699,2386,2675,0,0
355.28310@8.863,341010,342841,324863,418733,430004,446983,383233,371728,367589,308,0,243
355.28320@8.915,266764,266440,288144,408526,417186,397817,334929,334361,349596,308,0,243
355.28330@7.779,20209,20557,19627,32250,32409,33237,26020,25543,25060,0,0,0
355.28330@7.706,26200,26764,26273,31614,31785,31195,28654,29077,28633,0,0,0
355.36680@7.827,3058,3831,3546,262,0,0,1963,2598,2069,0,0,0
356.16120@3.895,11312,11573,11401,13460,10357,12038,11893,12405,13069,0,0,0
356.35120@9.775,4485,4019,4271,3911,4105,4163,4780,4618,4383,3505,2594,2298
357.29890@9.236,39197,38212,40070,45824,48911,47155,42566,44009,42958,0,0,0
357.29900@9.295,65575,62528,62605,70791,67813,69511,68247,61306,64526,0,0,0
357.97780@8.715,4760,6157,6651,3235,3183,3499,5602,5204,4254,7042,8176,4004
358.07920@3.395,3244,2489,3364,5939,6963,7242,4740,5024,5037,0,0,0
358.08570@4.560,19002,18155,17105,18476,17781,17467,20636,20030,21014,0,0,0
358.11210@2.214,30813,28144,28832,13074,12418,11953,26757,23964,22671,0,0,0
358.11240@1.841,8638,10047,7404,7266,13231,17929,12977,8240,8216,0,0,0
358.16340@6.911,50275,53013,52180,42586,43333,44196,52367,48939,49785,0,0,0
358.16360@7.001,27840,26966,27607,23431,23481,23101,27887,25018,25566,0,0,0
358.97920@8.112,23339,19710,32244,18043,30276,33598,21171,23761,23342,31093,91317,30244
358.97990@11.539,29955,29182,27798,27873,27836,33033,34746,29027,26804,129533,75613,13869
359.14780@4.673,17771,20385,19510,18388,15575,16315,19504,20101,18027,102,0,0
359.22790@3.637,12934,14408,12815,17204,16331,14699,16325,16049,15497,0,0,0
359.31440@9.763,30728,28813,31321,32869,33228,32854,27985,29731,31302,5544,341,310
360.12780@3.432,6869,6627,6913,6432,6366,6287,7672,7472,7285,0,0,0
360.12800@2.409,6435,5639,5772,4622,4019,4087,6091,5819,5645,0,0,0
360.13720@3.598,4244,6054,9451,4704,2734,6797,6673,3997,4094,0,0,0
360.14210@1.031,18383,31102,28605,27582,25923,31891,15677,26721,18382,0,0,0
360.14950@0.675,14226,16103,16159,13959,16346,14712,14807,16518,17447,7746,0,0
360.21150@2.643,10607,10269,9711,11923,13276,12885,12156,11573,11786,0,0,0
360.21230@2.569,13389,13287,12503,13810,13925,13945,15235,15255,14618,0,0,0
361.10400@4.028,20254,21566,21289,18604,17547,17278,21311,20593,20869,0,0,0
361.22050@8.511,8195,8292,9083,10477,10948,10590,9464,9359,9378,1878,1235,1328
362.05400@0.750,5535,5424,5645,5722,6984,6624,6915,5755,6796,0,0,0
362.06950@11.292,3375,3303,5238,818,1089,980,2315,3157,3394,0,273,2262
362.09640@0.679,46334,49228,49438,38662,44528,42390,46671,45933,49479,3330,0,0
362.13590@3.208,4060,3540,3338,2760,2799,2461,3422,4616,3551,0,0,0
363.00770@0.535,10332,10811,11410,8414,9327,10014,11308,11263,12375,0,0,0
363.11290@1.057,11159,5935,11514,8309,9123,23130,14365,19348,25615,0,0,0
363.21950@8.141,12843,13760,13521,17003,18403,18118,15309,14855,15182,22618,486,101
363.30960@8.456,9392,9583,9887,9352,9274,9603,10542,10095,10164,9373,8696,6761
363.30970@8.176,5894,5682,6337,4489,3752,4377,5934,4686,5449,3853,2033,1654
363.30980@8.592,8971,9241,8296,5198,6290,5957,8020,7760,7735,5400,4865,2805
364.11430@0.988,10574,19380,11663,23811,24981,3857,21162,22154,14684,0,0,0
364.25280@8.560,9295,9028,8829,12434,12811,11702,10652,9540,10026,0,0,0
364.26810@3.435,9807,10021,8848,12741,12841,12498,12153,11762,10641,0,0,0
364.26840@3.338,8642,8047,9677,7418,7341,7699,9246,8362,8378,0,0,0
364.32020@7.534,47777,48946,49012,59586,61485,61652,54813,51479,53566,0,0,0
365.06230@3.436,75045,77110,68137,47242,49403,47901,71210,67055,64614,0,0,0
365.06230@3.667,5522,6121,6105,3011,2698,3445,4827,5388,5501,0,0,0
365.10490@0.655,90483,97185,102328,73073,81013,79090,98082,92081,97412,49499,142,148
365.10490@1.622,19702,24970,33713,15083,40600,10200,44745,22672,35319,322,128,125
365.10500@0.591,48419,56471,56942,32611,44674,39461,49555,45980,57841,49499,1735,1100
365.12000@3.533,4033,4178,4234,5560,5176,5520,5642,4511,5128,0,0,0
365.14320@2.921,8506,8513,8902,3603,3640,3392,6563,6566,7310,0,0,0
365.15540@3.556,9262,9037,8967,4645,5324,4964,7184,7405,7819,6170,2898,2085
365.26770@9.528,7237,6264,6679,6434,6574,6686,7065,7092,6796,0,0,0
366.08370@4.390,29318,29443,26754,23668,23166,21457,29561,28355,27451,0,0,0
366.17520@4.511,33556,32292,31143,46584,48652,44435,46525,42610,41768,0,0,0
366.26780@8.914,39996,35319,36446,55173,57169,59057,43433,44964,45059,0,0,0
366.26810@8.861,46405,48144,47643,65705,68685,64526,57104,54581,56165,0,0,0
367.12690@3.304,5492,6105,6449,2822,2877,2864,6002,5320,5114,3520,1979,794
367.26100@9.461,13737,14427,13239,24348,25587,25135,18797,17615,18363,0,170,0
367.26870@5.261,3411,3117,3052,1128,2522,2717,3648,3307,2816,5153,5060,2967
368.09680@2.733,53552,54831,55810,44264,44925,45792,53530,52079,54785,0,0,0
368.17530@5.323,4220,3942,4035,4183,3560,4016,4783,4076,3660,10028,0,0
368.19660@5.458,1439,1206,1308,1166,1219,1030,1398,1182,1378,2648,0,0
369.04210@2.844,3461,3867,3756,5043,5611,5469,5091,4636,5168,0,0,0
369.06530@3.094,7971,7343,7607,9115,9570,8656,9058,8905,8121,0,0,0
369.08700@0.697,9305,10487,9975,10849,9802,10871,12741,10564,14258,0,0,0
369.08880@8.895,3838,3395,3526,2480,3016,2855,3841,3016,3210,7681,0,0
369.11680@3.736,10707,11997,11697,18644,18425,18038,15188,13400,14641,0,0,0
369.17520@5.707,5844,5381,6450,6417,6696,7444,7044,6385,6739,31144,0,0
369.19480@9.609,29720,30975,29500,28048,27940,26547,30776,29160,30450,32104,5114,4397
369.35030@11.719,86380,100014,80987,72823,59528,67341,95049,77989,82768,77492,20069,40306
369.38330@7.949,14613,14210,14797,3267,4040,3199,11003,10303,10315,7467,1905,1504
369.99670@2.771,13056,13366,13510,12187,11509,10882,15833,15736,14927,0,0,0
370.17000@0.734,45208,47608,49981,56761,61415,61223,54298,50392,55210,131,0,0
370.73540@4.673,2212,1955,1953,1607,1626,1513,1823,2228,1946,4685,3441,3505
371.02430@0.551,15218,16429,17567,24396,28613,29735,18951,19433,22746,0,0,0
371.09960@10.092,18726,19147,27161,4717,5937,7645,15863,18529,20866,1545,8945,10375
371.12960@4.512,10424,9986,9590,12766,13877,13539,13718,12253,12028,0,0,0
371.22650@3.755,20389,21026,20154,13650,14037,13798,19309,18770,18517,19675,8975,6334
372.04460@0.773,2396,3015,3082,4258,3545,3841,3362,3363,4440,4127,0,0
372.12830@2.849,29183,29841,27715,45608,47100,45519,41236,40867,39969,0,0,0
372.16450@3.433,14788,16024,18282,11753,11841,11651,6813,8758,10906,0,0,0
372.24030@8.612,9219,9133,8830,17339,16966,15747,11605,11384,12175,0,0,0
372.24080@8.560,13091,12592,13264,15662,16222,17797,15113,14639,13835,0,0,0
372.34600@8.039,36810,37742,37709,29892,29615,30996,34579,34524,34135,13584,0,0
372.34640@8.681,4690,4609,4593,3137,2943,3443,4171,4421,4361,2396,585,364
373.12710@4.066,7642,7338,8032,4754,5047,4261,7142,6806,6029,0,0,0
373.12730@4.799,10698,11527,11200,16658,20356,15006,16343,17011,15665,0,0,0
373.16370@8.172,33411,34475,33767,29513,29972,29421,32632,32876,32442,41854,0,0
373.23690@5.322,35737,34571,34670,26343,25450,25925,34501,33918,32738,50472,0,0
373.25770@5.707,23985,24078,24089,22868,21658,23595,25745,25662,25574,71177,0,0
374.10760@2.749,52665,50294,55184,43472,42319,44124,56580,54508,56568,0,0,0
374.14360@4.109,15312,14861,15352,12482,11554,11971,14552,13924,14647,0,0,0
374.14370@3.726,159987,155759,149765,135468,131241,125389,168157,161602,152091,0,0,0
374.20280@9.260,33459,33520,33757,55545,63493,54825,48765,45618,46501,0,0,0
374.21060@8.732,26071,26613,27264,45234,45224,44658,36167,34631,35046,0,0,0
374.25650@8.915,80621,83415,86447,134943,130657,125320,105519,104491,102896,0,0,0
374.25660@8.861,61653,59408,58168,77631,78510,84060,71689,67986,65506,0,0,0
375.19810@3.627,35379,37251,34890,26995,26999,27570,35036,35049,35595,0,0,0
375.23120@9.328,21388,20920,20675,19539,18976,18422,20012,19708,20436,25846,0,0
375.26690@9.788,16088,15824,15342,20061,19415,19943,17812,16656,16975,0,0,0
376.09060@3.725,16702,17510,16833,13286,14056,12162,16218,15902,14353,0,0,0
376.09530@0.835,14246,20308,26589,28185,22242,17501,42785,27422,20811,0,0,0
376.13830@3.156,267918,268263,250523,255976,250200,228362,270087,277243,252520,1447,0,0
376.13840@3.087,245239,243553,249258,235459,234032,243662,281231,251893,269496,1447,0,0
376.15950@3.566,30124,29661,29452,41063,40247,39847,43406,38317,36576,0,0,0
376.16410@5.322,9295,9438,9137,7504,9074,7981,9059,8524,9348,20522,0,0
376.25890@7.223,3037,3300,2701,3634,3453,3540,3513,3462,3550,23806,187,269
377.14480@3.930,33108,32227,31119,38360,37043,36947,37354,36089,35574,0,0,0
377.16420@5.707,17594,17338,17651,19618,20325,18868,18923,20218,19966,89487,0,0
378.14790@9.092,14569,13826,14148,14870,15996,14791,16119,15747,15174,0,0,0
379.09910@3.727,61146,59355,55761,51149,51968,48279,63140,59398,58679,0,0,0
379.11050@3.260,78682,80608,79897,76997,77463,76456,85300,84682,84311,0,0,0
379.15910@3.182,26798,26569,25904,19885,21063,21039,25204,24978,22454,0,0,0
379.21070@7.699,10765,10991,10824,9304,9291,8881,9549,9875,9906,13188,0,0
379.24790@4.672,3241,3349,2851,2089,1977,1264,2595,2768,2786,6436,4628,5259
380.16340@9.390,35892,34458,35704,36484,35210,34310,37603,36546,36203,0,0,0
380.18810@5.658,41948,42852,41155,19213,21664,18402,38474,38698,35136,0,0,0
380.18850@5.434,49221,48343,46297,25628,25930,25382,43992,41833,41339,160,0,0
380.20470@5.257,62112,70464,70643,98693,96739,91467,90204,81903,84822,0,0,0
380.97970@0.531,58077,60917,61729,72335,78298,77514,69560,66042,75992,0,0,0
381.05670@3.435,2400,2429,1930,1958,2210,1968,2514,2335,2066,0,0,0
381.07850@1.322,56671,62437,55996,81584,81333,84724,72833,72912,67024,932,0,1364
381.07860@0.655,2589841,2791745,2827173,2921940,3265678,3163988,2863280,2838315,2992256,15215,146,1238
381.07870@1.040,137430,155503,170985,159867,127318,140035,110943,95130,152473,112,199,364
381.07890@0.591,1386236,1475977,1518407,1444301,1548012,1589222,1511345,1437312,1691606,15215,199,333
381.08040@1.594,67674,56895,55069,110923,65457,72225,65301,67466,64525,589,162,355
381.11510@3.572,18869,18666,19050,22092,23380,23461,22633,21916,21866,0,0,0
381.15790@0.582,9732,12997,16896,11094,21202,16674,11411,12361,19675,0,0,0
381.80980@0.582,5035,5192,5184,5062,6402,7075,4815,4828,6951,0,0,0
382.01120@0.584,3709,4907,6315,5389,6450,6888,5339,4776,6903,0,0,0
382.08200@0.587,230576,259015,267838,251678,291003,299407,264164,248203,308489,1203,0,0
382.08210@0.655,362148,391840,403894,425933,488615,480094,425782,415873,436161,1203,0,0
382.09980@4.319,20070,20489,19971,16913,16414,15374,20589,21414,20770,0,0,0
382.19920@8.732,59412,60674,59661,101173,104129,100457,79013,78580,79177,0,0,0
382.20020@8.155,16231,17425,18080,14630,14333,14423,17121,15800,15184,3942,0,0
383.07070@9.057,2553,2692,2502,2562,2623,2562,2707,3115,3068,3790,7621,2094
383.09640@3.405,25981,27227,27492,10498,10251,10764,20938,21115,20763,0,0,0
383.13000@2.759,27528,25855,35599,22393,18767,26553,28649,30930,36991,0,0,0
383.13960@12.334,13922,13350,13179,10426,10841,10038,12187,13173,11387,12625,0,0
383.20270@8.511,13234,12933,14013,13866,14802,13754,15437,13215,13410,3230,2146,2412
383.46680@4.838,1674,2085,1551,3382,3540,3695,2665,2728,2828,0,0,0
384.11430@2.994,32853,32478,33240,34241,35094,33354,36907,35502,34014,0,0,0
385.04090@0.558,2526,2617,3015,3357,3642,3730,3176,2610,2854,0,0,0
385.04330@3.095,14839,14467,13084,19351,19004,15989,18031,16512,15040,0,0,0
385.04350@2.733,8187,7059,8208,9116,9857,9850,9117,9118,7742,0,0,0
385.06070@2.772,20387,21979,20172,19594,17991,18396,22056,22133,22436,0,0,0
385.06820@9.064,1098,824,1307,1278,1510,1369,1106,1062,1172,2248,4468,1136
385.09680@0.941,36333,35217,36913,30595,13579,41118,28381,18808,36756,0,0,0
385.12780@2.411,84605,82130,85696,130418,127583,124238,113898,107707,108287,0,0,0
385.15050@5.710,1821,1618,1098,2250,1855,1748,1844,1552,1849,8430,0,0
385.25490@1.275,20570,46818,30252,57028,56142,57400,54004,50914,51012,0,0,0
386.08450@1.343,15907,17670,16598,25055,24707,24887,20801,19229,19738,0,0,0
386.17310@5.458,1985,1683,1581,1526,1760,1629,1917,1804,1802,4340,0,0
387.01200@8.859,1472,1405,1976,1537,2019,1915,2156,1743,2454,3601,5171,1737
387.10250@4.511,9259,9289,8783,12556,12732,12644,13139,11950,12146,0,0,0
387.12750@3.762,14837,17433,15289,9904,9238,9483,12941,14501,13457,0,0,0
387.14040@4.187,7177,6853,6658,634,701,795,2903,2569,2457,0,0,0
387.14270@5.119,24018,23516,32828,16254,14983,15563,21099,28101,19036,0,0,0
387.14280@5.198,15046,14044,14015,8207,8101,7047,12494,12437,13725,0,0,0
387.15960@0.619,11536,11868,13386,15875,18690,18676,14267,14418,17350,0,0,0
387.16150@7.703,10024,9870,9941,3173,3008,2997,7793,7738,7206,5245,3381,2534
387.19300@7.184,1197,1370,1339,808,841,1225,1224,903,1047,4201,0,0
387.34560@10.280,9530,9329,9159,13352,13864,13787,10363,11264,10658,0,0,0
388.12310@3.018,14257,14703,15084,10630,10783,10027,15209,14335,14437,0,0,0
388.25340@3.755,77341,81149,81145,52293,54162,54045,74863,72699,72650,83082,40494,28529
388.82320@9.252,7523,6383,6112,3179,3149,3554,5091,5568,4817,3950,0,0
388.93410@9.257,7055,5777,7052,3883,3576,3500,5290,4873,5111,2542,0,0
388.97740@9.257,6118,6158,5078,3500,2752,2590,4658,4270,4066,4615,0,0
389.04060@9.256,6678,6097,5737,2787,3180,3238,5379,4468,5813,2488,0,0
389.08640@9.260,5875,4788,4557,3368,2963,2705,3217,3956,4331,3004,0,0
389.10170@2.333,9837,10944,12068,8713,8539,10311,10066,10818,13778,0,0,0
389.10880@3.217,19089,17904,18055,24880,24643,24513,24553,22784,22210,0,0,0
389.27680@9.898,18682,19188,19015,20440,22402,22378,20906,21000,19838,0,0,0
390.05160@9.256,2892,2749,3234,2137,1998,2253,2722,2449,3200,2028,0,0
391.07740@0.856,17444,18085,20623,10690,17336,17805,19026,18495,13274,0,0,0
391.17240@3.629,15269,15644,15060,12471,12206,12323,14454,14420,14440,0,0,0
391.18640@8.733,8508,9349,8935,16363,16040,16475,11629,11810,11831,399,133,140
391.18990@5.259,198487,205154,201627,239215,232310,221338,233973,232412,230173,0,0,0
391.19540@8.442,8453,7526,7748,5398,7497,4995,6221,5608,5109,5839,4043,4141
391.24720@5.322,34293,33061,32215,25828,24773,25049,34599,31752,31334,55438,0,0
391.28280@10.720,44323,41307,42241,19663,27891,21498,40377,29665,35967,19672,13171,15784
391.28300@10.578,242577,243689,243198,105357,104805,103604,194108,188590,191222,95367,59979,67868
391.40890@10.574,3792,3694,3452,873,1910,1350,2493,3263,3182,707,244,0
392.19080@3.790,13562,12367,13597,13588,13611,13064,16953,14888,14344,0,0,0
392.22950@12.334,32757,32894,32226,30005,27227,29922,33170,32650,32560,36428,364,1555
392.25020@5.321,9143,8378,8791,6819,6119,6662,8941,8382,8225,13643,0,0
392.27000@9.836,18914,19993,19208,19941,19655,19850,20854,20444,20287,0,0,0
392.99670@0.537,16113,17753,17297,16743,19182,19818,17860,17454,19726,0,0,0
393.04210@0.688,36123,36281,41357,41192,48233,35226,45876,33240,47189,0,0,0
393.20560@10.117,43502,55824,43181,48302,45363,49234,48970,54715,54081,64042,43502,52809
393.20880@3.755,8910,9633,9332,6585,7417,6896,8935,9200,10034,10092,4957,3019
393.21230@4.113,10446,11151,11372,7141,6717,7814,9339,10216,10166,0,0,0
393.23840@8.465,45818,46877,49350,66830,71909,71043,58169,58497,56926,0,0,0
394.10090@2.289,11801,11049,11669,11050,11506,11625,12406,11502,13174,0,0,0
394.16300@2.778,10955,11025,9941,15560,15941,15254,14259,13206,12312,0,0,0
394.21810@9.651,15394,14546,13727,61201,39074,57410,33161,30254,31195,0,0,0
395.01130@4.141,1251,1913,3119,14951,15536,14119,10326,12101,9007,0,0,0
395.03180@4.132,3820,966,2332,18022,17564,19159,6981,6517,7381,0,0,0
395.06620@0.859,37782,37788,40096,42615,46576,47938,45824,40776,44143,0,0,0
395.07280@3.726,50195,51266,47146,43471,44585,42314,53004,52529,49302,0,0,0
395.08440@3.261,28831,29109,28488,28405,26928,29202,30744,29864,31429,0,0,0
395.09420@0.569,41708,46160,49716,42374,50004,49953,44782,45394,51359,0,0,0
395.16520@0.723,20495,21034,22952,16364,17613,17058,20791,19573,21021,0,0,0
395.36090@8.822,17856,17154,17493,4414,4529,4970,13602,13614,12857,3011,2679,2099
395.36590@9.559,79532,77047,76207,99933,103097,101416,88242,89195,86187,0,0,0
